MHCII,Autofluo.,CD11b,CD64,CD161,Ly6G,CD3,CD19,CD11c
2.7955,0.3788,0.31763,0.56827,1.4571,0.54804,0.95631,2.99,1.7602
3.0406,1.3523,1.6285,1.0275,0.71679,0.75245,0.56783,3.4014,1.0468
2.6052,1.4176,1.0441,0.47568,0.77655,0.37455,1.1484,2.944,1.0029
3.1123,1.5173,2.294,0.75623,0.824,0.64018,1.4895,1.4666,3.5253
3.0808,1.4112,1.7731,0.05565,0.22305,1.1752,1.2777,3.4202,0.29284
2.5703,1.1003,1.1644,0.91208,0.73565,0.72093,0.92154,3.0474,0.82056
0.34677,1.2162,0.75346,0.94887,1.2596,0.61332,1.9763,1.4195,0.81992
2.6628,1.3001,0.47487,1.3541,1.1722,0.60325,0.82451,3.0002,1.6931
1.8072,1.5147,1.0706,0.78483,0.2659,1.4177,0.4321,3.5476,0.87276
1.1158,1.2883,0.25954,0.93922,1.0134,0.8097,2.9732,1.0046,1.2526
2.4022,1.4191,0.83921,0.4923,0.7637,0.68566,1.2003,3.1016,0.70592
2.8877,1.2596,1.803,0.6881,0.81227,0.91553,1.2972,2.809,0.6063
2.9082,1.4466,1.0874,0.97493,1.1469,0.1571,0.95736,3.3643,0.49391
0.34741,1.6111,0.60945,1.3586,1.0367,0.61689,2.587,1.6116,0.63815
1.5819,1.2823,0.96178,0.93367,0.69523,1.346,1.2112,3.2346,0.90527
2.0392,0.74356,0.66619,1.0089,0.46691,0.82353,1.4147,3.1667,0.66038
2.8252,0.98736,1.1748,0.92213,1.1722,1.4087,0.33003,2.9627,1.2226
1.1154,1.2802,0.39428,0.87132,1.1148,0.95235,3.0572,0.84016,1.1795
2.7474,1.5147,1.5115,0.45528,0.79838,1.4475,1.149,3.4109,0.67492
2.6881,1.6461,0.93074,0.4687,1.1663,0.89047,0.91894,3.2035,1.3238
2.9562,1.1932,1.1489,0.87075,0.82182,0.41135,0.83806,2.5609,1.0274
1.7188,1.1084,0.73284,1.1011,0.88909,0.63671,0.71568,3.2944,1.0102
2.4176,0.6738,1.0439,0.75961,0.43262,1.3445,1.0647,3.0297,0.77587
2.676,1.0058,0.73736,0.68603,1.0981,0.1955,0.99595,3.089,0.349
0.90347,1.9119,3.2997,2.144,1.0972,0.84692,1.7214,0.93678,1.0205
3.0047,1.0415,1.4564,0.4288,1.3338,0.37663,0.38245,3.451,1.0174
2.3014,1.3559,0.78454,0.58372,1.1708,0.58618,0.64232,3.0073,1.0211
