tsne_dim1,tsne_dim2,top_attribute_variance,top_attribute_values
-14.892321,8.030125,2,3
0.67886436,3.6177166,8,7
-18.117115,21.772753,5,2
32.641994,14.882556,6,0
19.203438,30.561113,1,0
-15.201401,-33.969692,5,6
2.2208407,-2.7255495,6,5
8.672727,24.89795,6,0
-43.005726,-27.448618,4,6
45.291843,-0.7246359,7,4
-17.90484,-29.800846,6,6
3.08242,-4.148454,4,5
13.818303,-16.17118,3,7
34.5352,12.545583,3,1
-34.644947,-47.02306,2,6
-39.28805,22.149931,8,2
-27.6413,-23.145405,2,6
-12.520485,-34.77665,2,6
46.127476,21.586248,7,4
8.071071,-16.944271,4,5
2.8754845,25.53344,6,5
-0.27449268,0.3930933,5,7
-20.271278,-32.567192,6,6
-2.0909731,7.4527297,5,5
31.569536,9.856391,0,0
27.545034,-0.68538225,7,0
11.383538,26.578735,4,7
-25.790834,-28.888948,0,6
-27.621035,-42.20254,0,6
7.5159807,-4.179238,0,5
-39.010426,21.801313,8,2
0.33635825,1.8385897,7,5
10.419657,13.443688,1,7
-12.478972,3.539146,0,7
-2.503795,11.38151,7,0
-3.2316294,5.5101824,7,5
-42.782127,-26.555168,4,6
9.853067,-10.081414,7,5
15.336621,-12.863193,1,7
26.298319,14.05469,0,7
42.74981,-2.7456372,7,0
11.999253,-16.798063,0,1
-34.929207,-35.206944,7,6
-31.580902,-21.353289,1,6
18.845078,38.145737,6,0
42.676376,4.5951467,8,0
18.301294,-2.8451884,7,7
-26.35207,-23.06765,4,6
24.199482,31.024517,0,7
11.196437,10.960515,7,0
24.377878,-3.6101959,4,0
-37.760025,-39.24442,4,6
-21.82346,-22.574772,2,6
32.264088,-11.902317,8,4
12.720889,22.534216,7,7
-15.620802,6.4885273,3,3
31.421173,12.342258,7,8
33.118294,0.7548275,5,4
4.8344913,-17.06051,6,5
-48.433403,23.375572,2,8
19.691668,26.684423,1,0
-25.380701,33.878662,0,3
19.967745,-22.327553,3,5
11.736029,27.545328,1,0
24.397627,1.8815684,4,7
45.94764,0.67025155,0,0
4.2484946,-16.231762,0,5
-30.819765,-32.996346,7,6
38.629536,30.260876,7,7
-29.287745,36.482018,8,3
8.199403,36.084522,5,7
3.939434,9.418066,7,0
-24.977545,-34.25041,8,6
7.532858,33.61703,1,0
-28.88494,36.20925,2,3
30.481321,8.465879,5,3
-44.778088,22.788218,5,8
41.773136,18.907421,0,4
7.5847993,8.839819,7,7
-53.07129,-2.537589,4,4
2.914033,-15.371635,3,8
-46.173233,-26.615934,3,6
-18.677536,-15.798897,5,1
-48.543797,-30.27876,2,6
-25.49163,-48.521088,3,6
-48.40198,23.29076,0,8
9.243538,1.2396777,3,0
25.903755,23.642775,7,0
-11.752922,4.877938,5,3
-20.404076,-44.760277,3,6
23.717356,10.502825,6,0
-27.211382,-43.79479,4,6
-22.318108,-35.901875,0,6
38.815598,30.06931,7,7
8.401332,36.08897,5,7
-41.43708,29.308802,6,2
-40.224422,22.703827,1,2
18.017757,19.836544,0,7
42.878273,21.43277,0,4
-38.73068,-29.29558,1,6
29.715025,29.344135,6,0
-41.014294,-30.964876,5,6
4.203009,-0.22056653,4,5
19.877138,20.601835,4,0
-23.314034,-48.373943,0,6
37.151245,-1.2735705,3,4
14.130967,35.72526,7,2
-4.2714825,20.315903,4,5
40.463676,25.806103,7,1
-15.833309,-36.545647,8,6
46.812508,4.450001,2,4
15.906535,-13.982726,3,7
50.274437,6.8147564,4,4
-3.294823,-7.3180246,5,7
42.213608,6.198315,0,0
31.553217,28.164303,0,2
6.4300714,-10.755007,0,5
-46.36581,-32.831394,4,6
54.00791,10.587853,7,7
-34.537804,-38.158913,7,6
35.136402,-5.3489347,4,4
31.326279,-10.207621,7,7
-1.5412093,-13.220379,0,8
-48.02035,-34.953007,5,6
-18.74226,-45.098763,0,6
45.965965,14.189397,2,4
8.635998,-8.075787,2,3
41.310547,11.594313,3,7
-47.07802,23.287151,8,8
-37.74187,-24.782324,3,6
18.957273,37.653824,6,0
6.5471225,-13.421896,7,7
